,id,name,metacritic,released_year,platforms,developers,genres,publishers
658,10063,The Infectious Madness of Doctor Dekker,78.0,2017,"PC, macOS, PlayStation 4, Xbox One, Nintendo Switch","Wales Interactive, D'Avekki Studios","Adventure, Simulation, Casual, Indie","Wales Interactive, D'Avekki Studios"
668,10064,Assassin’s Creed Brotherhood,88.0,2010,"macOS, PC, PlayStation 3, Xbox 360, Xbox One, PlayStation 4",Ubisoft Montreal,"Action, Adventure",Ubisoft Entertainment
678,10065,Cities: Skylines,85.0,2015,"Linux, macOS, PC, Nintendo Switch, Xbox One, PlayStation 4",Colossal Order,"Strategy, Simulation",Paradox Interactive
760,10073,Divinity: Original Sin 2,95.0,2017,"PlayStation 4, Xbox One, PC",Larian Studios,"RPG, Strategy",Larian Studios
846,10081,Detention,83.0,2017,"Linux, iOS, PC, macOS, Android, PlayStation 4, Nintendo Switch","RedCandleGames, Coconut Island dba Shanghai Kena Information Technology Co","Adventure, Indie, Puzzle","Coconut Island Games, RedCandleGames, Red Candle Games"
917,10088,Owlboy,88.0,2016,"PlayStation 4, Nintendo Switch, Linux, PC, Xbox One","D-Pad Studio, D-Pad Studios","Action, Adventure, Indie, Platformer",D-Pad Studio
938,1009,Batman: Return to Arkham,75.0,2016,"Xbox One, PlayStation 4",Warner Bros. Interactive,"Action, Adventure",Warner Bros. Interactive
939,10090,Beholder,75.0,2016,"Linux, PC, iOS, Android, macOS, PlayStation 4, Xbox One, Nintendo Switch","Alawar Entertainment, Warm Lamp Games","Adventure, RPG, Strategy, Indie","Alawar Entertainment, Alawar Premium, Creative Mobile, Osauhing Creative Mobile"
949,10091,"Gremlins, Inc.",75.0,2016,"macOS, Linux, PC","Alexey Bokulev, Charlie Oscar Lima Tango Interactive Entertainment, Sergei Klimov","Strategy, Board Games, Card, Indie",Yukitama Creative Industries
980,10094,Pit People,78.0,2017,"PC, Xbox One",The Behemoth,"Action, RPG, Strategy, Indie",The Behemoth
990,10095,Hover: Revolt Of Gamers,69.0,2015,"PC, macOS, Linux, Nintendo Switch, Xbox One, PlayStation 4","Plug In Digital, Playdius, Midgar Studio, Fusty Game","Action, Adventure, Racing, Indie","Plug In Digital, Playdius, The Sidekicks"
1041,1010,Transistor,83.0,2014,"Linux, macOS, PC, iOS, Nintendo Switch, PlayStation 4",Supergiant Games,"Action, RPG, Indie",Supergiant Games
1124,10108,Portal Knights,72.0,2016,"Android, iOS, PC, Xbox One, PlayStation 4, Nintendo Switch","505 Games, Keen Games","Action, Adventure, RPG",505 Games
1146,10110,Conarium,73.0,2017,"PC, Xbox One, PlayStation 4",Zoetrope Interactive,"Adventure, Indie",Iceberg Interactive
1189,10114,Realpolitiks,55.0,2017,"macOS, Linux, PC, Nintendo Switch",Jujubee,"Strategy, Simulation","1C Company, Forever Entertainment"
1210,10116,Summoner,78.0,2000,"PC, PlayStation 2",Volition,"Action, RPG",THQ Nordic
1232,10118,Legacy of Kain: Defiance,70.0,2003,"PC, Xbox, PlayStation 2",Crystal Dynamics,"Action, Adventure, Platformer",Square Enix
1243,10119,Legacy of Kain: Soul Reaver 2,77.0,2001,"PC, PlayStation 2",Crystal Dynamics,"Action, Adventure, Platformer",Square Enix
1254,1012,Destroy All Humans!,71.0,2005,"PC, PlayStation 4, Xbox 360, Xbox One, Wii, PlayStation 2, PlayStation 3, Xbox","THQ Nordic, Pandemic Studios, Black Forest Games","Action, Adventure","THQ Nordic, Panorama"
1266,10121,Conflict: Denied Ops,58.0,2008,"PC, Xbox 360",Pivotal Games,"Action, Shooter","Square Enix, Eidos Interactive"
1287,10123,Gyromancer,71.0,2009,"PC, Xbox 360","Square Enix, PopCap Games",RPG,Square Enix
1307,10125,Tom Clancy's Ghost Recon Wildlands,72.0,2017,"PC, PlayStation 4, Xbox One","Ubisoft, Ubisoft Montpellier, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Milan, Ubisoft Paris, Reflections","Action, Shooter, Massively Multiplayer",Ubisoft Entertainment
1337,10128,Toukiden 2,73.0,2017,"PC, PlayStation 4","Koei Tecmo, KOEI TECMO America",Action,KOEI TECMO GAMES CO
1358,10130,Obduction,76.0,2016,"Xbox One, macOS, PC, PlayStation 4",Cyan Worlds,"Adventure, Indie, Puzzle",Cyan Worlds
1401,10134,The Moment of Silence,70.0,2004,PC,House of Tales,"Adventure, Indie","THQ Nordic, HandyGames"
1477,10141,NieR:Automata,86.0,2017,"PC, Xbox One, PlayStation 4","Platinum Games, 8-4","Action, RPG",Square Enix
1487,10142,PlayerUnknown’s Battlegrounds,81.0,2017,"PC, PlayStation 4, Xbox One","Bluehole, PUBG","Action, Shooter, Massively Multiplayer",Bluehole
1604,10153,The Franz Kafka Videogame,65.0,2017,"iOS, PC",Denis Galanin,"Adventure, Indie, Puzzle",Daedalic Entertainment
1644,10157,Brothers in Arms: Earned in Blood,84.0,2005,"PC, PlayStation 2, Wii",Gearbox Software,Action,Ubisoft Entertainment
1655,10158,Brothers in Arms: Road to Hill 30,87.0,2005,"PC, Xbox, PlayStation 2, Wii",Gearbox Software,Action,Ubisoft Entertainment
1723,10165,Orcs Must Die! Unchained,87.0,2016,"PC, PlayStation 4",Robot Entertainment,"Action, Strategy",Robot Entertainment
1734,10166,Depth,65.0,2014,PC,Digital Confectioners,"Action, Indie",Digital Confectioners
1776,1017,HoPiKo,82.0,2015,"iOS, PC, macOS, Nintendo Switch, Xbox One, PlayStation 4","Merge Games, Laser Dog","Action, Arcade, Casual, Indie","Merge Games, Laser Dog Games"
1808,10173,Muv-Luv,76.0,2016,"PC, PS Vita","Pqube, ixtl, Anchor","Adventure, Casual","Sekai Project, Degica"
1855,10178,Tron 2.0,84.0,2003,"PC, Xbox, Game Boy Advance, Classic Macintosh","Monolith Productions, Climax Group, Lavastorm Analytics",Action,"Disney Interactive, Buena Vista Interactive"
1865,10179,Rakuen,84.0,2017,"PC, Linux, macOS",Laura Shigihara,"Adventure, RPG, Indie",Laura Shigihara
1979,1019,LEGO Harry Potter Collection,73.0,2016,"PlayStation 4, Xbox One, Nintendo Switch","Warner Bros. Interactive, Traveller's Tales",Action,Warner Bros. Interactive
2085,1020,Mordheim: City of the Damned,74.0,2015,"PC, Xbox One, PlayStation 4",Rogue Factor,"RPG, Strategy",Focus Home Interactive
2097,10201,HEX: Shards of Fate,87.0,2016,"PC, macOS",Hex Entertainment,"Adventure, RPG, Strategy",Hex Entertainment
2143,10206,Ashes of the Singularity: Escalation,81.0,2016,PC,"Stardock Entertainment, Oxide Games","RPG, Strategy, Simulation, Indie","Stardock Entertainment, Stardock"
2215,10213,Dota 2,90.0,2013,"Linux, macOS, PC",Valve Software,"Action, Massively Multiplayer",Valve
2370,10228,Rock of Ages 2: Bigger & Boulder,77.0,2017,"PC, Nintendo Switch, PlayStation 4, Xbox One",ACE Team,"Action, Strategy, Racing, Arcade","SEGA, Atlus USA"
2381,10229,Shattered Skies: Prologue,56.0,2016,PC,Free Reign Entertainment,"Action, Adventure, RPG, Massively Multiplayer, Indie",Free Reign Entertainment
2433,10234,Jazzpunk,75.0,2014,"Linux, PC, macOS, PlayStation 4",Necrophone Games,"Action, Shooter, Adventure, Indie","Adult Swim Games, Necrophone Games"
2486,10239,Battlestations: Midway,76.0,2007,"Xbox One, macOS, PC, Xbox 360","Feral Interactive, Eidos Interactive, Eidos Hungary","Action, Strategy","Square Enix, Feral Interactive"
2509,10241,Thief II: The Metal Age,87.0,2000,PC,Looking Glass Studios,"Action, Simulation",Square Enix
2530,10243,Company of Heroes 2,80.0,2013,"Linux, macOS, PC","Feral Interactive, Relic Entertainment","Strategy, Simulation","SEGA, Feral Interactive"
2627,10252,Project Highrise,73.0,2016,"PC, iOS, PlayStation 4, macOS, Android","Kalypso Media, Kalypso Media Mobile, SomaSim","Strategy, Simulation","Kalypso Media, Kasedo Games"
2698,10259,Empathy,57.0,2017,"PC, macOS",Pixel Night,"Action, Adventure, Indie",Iceberg Interactive
2721,10261,Homeworld Remastered Collection,86.0,2015,"iOS, PC, macOS","Aspyr Media, Gearbox Software","Strategy, Simulation","Aspyr, Gearbox Software"
2752,10264,Bohemian Killing,55.0,2016,"Nintendo Switch, PC, macOS",The Moonwalls,"Adventure, Simulation, Indie","Libredia, Ultimate Games, IQ Publishing"
3018,1029,Cobalt,69.0,2016,"PC, Xbox 360, Xbox One",Oxeye Game Studio,"Action, Shooter, Adventure, Indie, Platformer","Microsoft Studios, Mojang, Mojang/Microsoft Studios"
3068,10295,Perception,56.0,2017,"PC, Nintendo Switch, PlayStation 4, Xbox One","The Deep End Games, WFH GAMES","Adventure, Indie","Feardemic, The Deep End Games"
3079,10296,TERA,77.0,2017,"PlayStation 4, PC, Xbox One","Bluehole, En Masse Entertainment","Action, RPG, Massively Multiplayer",Gameforge 4D
3090,10297,Sid Meier’s Civilization VI,88.0,2016,"macOS, PC, iOS, PlayStation 4, Xbox One, Linux, Nintendo Switch","Aspyr Media, Firaxis","Strategy, Simulation","2K Games, Aspyr"
3111,10299,Steel Division: Normandy 44,83.0,2017,PC,Eugen Systems,"Action, Strategy, Simulation",Paradox Interactive
3122,1030,Limbo,88.0,2010,"PC, iOS, Linux, macOS, Android, Xbox One, Xbox 360, PlayStation 3, PlayStation 4, Nintendo Switch, PS Vita","Double Eleven, Playdead","Action, Adventure, Indie, Puzzle, Platformer","Microsoft Studios, Playdead"
3214,10309,Endless Space 2,82.0,2016,"macOS, PC",Amplitude Studios,Strategy,SEGA
3233,10311,X Rebirth,33.0,2013,"PC, Linux, macOS",Egosoft,"Action, Simulation",Egosoft
3350,10322,The Curious Expedition,74.0,2016,"PC, macOS, Linux",Maschinen-Mensch,"Adventure, RPG, Strategy, Simulation, Indie",Maschinen-Mensch
3361,10323,Miniature Garden,66.0,2017,PC,Muzintou,"Adventure, Casual, Indie",Fruitbat Factory
3404,10327,SpaceChem,84.0,2011,"Android, Linux, PC, macOS",Zachtronics,"Strategy, Simulation, Indie, Puzzle",Zachtronics
3436,1033,The Bug Butcher,81.0,2016,"macOS, iOS, Android, Linux, PC, Xbox One, PlayStation 4, Nintendo Switch","Triangle Studios, Awfully Nice Studios, Noodlecake Studios","Action, Arcade, Casual, Indie","2Awesome Studio, Noodlecake Studios, Triangle Studios, Awfully Nice Studios"
3534,10340,Crusader Kings II,82.0,2012,"PC, Linux, macOS",Paradox Development Studio,"Strategy, Simulation",Paradox Interactive
3563,10343,Overclocked: A History of Violence,70.0,2007,PC,House of Tales,"Action, Adventure, Indie",THQ Nordic
3615,10348,ALICE VR,59.0,2016,"PC, Linux",Carbon Studio,"Adventure, Indie, Puzzle",Klabater
3626,10349,Painkiller Redemption,43.0,2011,PC,"Homegrown Games, Eggtooth Team","Action, Shooter","THQ Nordic, JoWooD Entertainment"
3680,10354,Painkiller: Resurrection,38.0,2009,PC,Homegrown Games,Action,THQ Nordic
3691,10355,Fractured Space,79.0,2016,PC,Edge Case Games,"Action, Strategy, Indie",Edge Case Games
3712,10357,The Lion's Song: Episode 1 - Silence,78.0,2016,"PC, macOS, Linux",Mi'pu'mi Games,"Adventure, Indie",Mi'pu'mi Games
3733,10359,Railroad Pioneer,50.0,2014,PC,"Kritzelkratz 3000, JoWooD","Strategy, Simulation",THQ Nordic
3744,1036,The Jackbox Party Pack 3,81.0,2016,"macOS, PC, Nintendo Switch, Xbox One, PlayStation 4",Jackbox Games,"Strategy, Casual, Indie",Jackbox Games
3788,10364,911 Operator,68.0,2017,"iOS, macOS, Android, Linux, PC, Xbox One, Nintendo Switch","PlayWay, Jutsu Games, Games Operators","Strategy, Simulation, Casual, Educational, Indie","PLAYWAY SPOLKA AKCYJNA, Games Operators, SONKA"
3829,10368,The Wardrobe,72.0,2017,"macOS, PC, Nintendo Switch, PlayStation 4","MixedBag, C.I.N.I.C. Games",Adventure,"Adventure Productions, MixedBag"
3849,10370,EVERSPACE,80.0,2017,"PC, macOS, Nintendo Switch, Xbox One, PlayStation 4",ROCKFISH Games,"Action, Simulation, Indie",ROCKFISH Games
3911,10376,Deadfall Adventures,53.0,2013,"PC, Linux, Xbox 360",The Farm 51,"Action, Adventure","THQ Nordic, Nordic Games"
3988,10383,Transport Fever,71.0,2016,"macOS, iOS, Linux, PC","Good Shepherd Entertainment, Urban Games","Strategy, Simulation","Good Shepherd Entertainment, Gambitious Digital Entertainment, Gambitious"
4031,10387,BUTCHER,70.0,2016,"Linux, PC, macOS, Nintendo Switch, PlayStation 4, Xbox One","Crunching Koalas, Transhuman Design","Action, Indie, Platformer","Crunching Koalas, Transhuman Design"
4052,10389,Gothic II: Gold Edition,79.0,2010,PC,Piranha Bytes,"Action, RPG",THQ Nordic
4063,1039,Lichdom: Battlemage,69.0,2014,"PC, Xbox One, PlayStation 4","Maximum Games, Xaviant","Action, RPG, Indie","Maximum Games, Xaviant Games"
4095,10393,Gothic 3,63.0,2006,PC,Piranha Bytes,"Action, Adventure, RPG","THQ Nordic, Piranha Bytes"
4116,10395,Impossible Creatures,72.0,2003,PC,"THQ Nordic, Relic Entertainment",Strategy,THQ Nordic
4147,10398,Sniper Ghost Warrior 3 Season Pass Edition,57.0,2017,"PC, Xbox One, PlayStation 4","CI Games, 4EversGames","Action, Shooter",CI Games
4167,104,We Are The Dwarves,60.0,2016,"Linux, PC, macOS, Xbox One, PlayStation 4",Whale Rock Games,"Action, Adventure, RPG, Indie",Whale Rock Games
4180,10401,Drifting Lands,71.0,2017,"PC, macOS",Alkemi,"Action, RPG, Indie",Alkemi
4200,10403,Lakeview Cabin Collection,70.0,2015,"PC, macOS",Roope Tamminen,Indie,Roope Tamminen
4241,10407,AereA,57.0,2017,"PC, macOS, Linux, PlayStation 4, Xbox One","SOEDESCO Publishing, Triangle Studios","Action, Adventure, RPG, Indie",SOEDESCO Publishing
4250,10408,Impact Winter,62.0,2017,"PC, PlayStation 4, Xbox One","BANDAI NAMCO Entertainment America, Mojo Bones","Adventure, Simulation, Indie","Bandai Namco Entertainment, BANDAI NAMCO Entertainment US"
4270,1041,Valentino Rossi The Game,72.0,2016,"PC, Xbox One, PlayStation 4",Milestone,"Simulation, Sports, Racing",Milestone
4335,10416,Darkwood,78.0,2014,"Linux, PC, macOS, Xbox One, PlayStation 4, Nintendo Switch","Crunching Koalas, Acid Wizard","Action, Adventure, RPG, Indie","Crunching Koalas, Acid Wizard Studio"
4362,10419,Subnautica,83.0,2018,"Nintendo Switch, PC, macOS, Xbox One, PlayStation 4",Unknown Worlds Entertainment,"Adventure, Indie",Unknown Worlds Entertainment
4539,10436,Golf With Your Friends,69.0,2016,"PlayStation 4, macOS, Nintendo Switch, Xbox One, Linux, PC","Blacklight Interactive®, Blacklight Interactive","Sports, Casual, Indie","Team17 Digital, Blacklight Interactive®, Blacklight Interactive"
4613,10443,Mosaic,67.0,2019,"Linux, macOS, PC, iOS, Nintendo Switch, Xbox One, PlayStation 4","Krillbite Studio, Krillbite","Adventure, Casual, Indie",Raw Fury
4654,10447,Rezrog,70.0,2017,"Linux, PC, macOS",Soaphog,"Adventure, RPG, Indie",Kasedo Games
4672,10449,Darksiders II Deathinitive Edition,75.0,2015,"PC, Nintendo Switch, PlayStation 4, Xbox One","THQ Nordic, Vigil Games, Gunfire Games","Action, RPG","THQ Nordic, Nordic Games Publishing"
4684,10450,Youtubers Life,63.0,2017,"macOS, Android, Linux, PC",U-Play Online,"Strategy, Simulation, Indie",U-Play Online
4772,10458,Antihero,81.0,2017,"Android, PC, macOS","Versus Evil, Tim Conkling","Strategy, Indie",Versus Evil
5253,10504,iRacing,79.0,2015,PC,"iRacing.com Motorsport Simulations, iRacing","Racing, Massively Multiplayer","iRacing.com Motorsport Simulations, iRacing"
5263,10505,Regalia: Of Men and Monarchs,73.0,2017,"Linux, PC, Nintendo Switch, macOS",Pixelated Milk,"RPG, Strategy, Indie",Klabater
5348,10513,Expeditions: Viking,74.0,2017,PC,Logic Artists,"RPG, Strategy, Indie",Logic Artists
5358,10514,Master of Orion,74.0,2016,"PC, Linux, macOS",NGD Studios,Strategy,Wargaming
5379,10516,The Age of Decadence,81.0,2015,PC,Iron Tower Studio,"RPG, Indie",Iron Tower Studio
5543,10532,99Vidas,69.0,2016,"Linux, PC, PlayStation 4, macOS, PlayStation 3, Xbox One",QUByte Interactive,"Action, Arcade, Indie","Plug In Digital, QUByte Interactive"
5553,10533,Path of Exile,86.0,2013,"PC, PlayStation 4, Xbox One",Grinding Gear Games,"Action, RPG, Massively Multiplayer, Indie",Grinding Gear Games
5595,10537,RUINER,78.0,2017,"Linux, PC, Nintendo Switch, macOS, Xbox One, PlayStation 4","Devolver Digital, Reikon Games","Action, Shooter, Indie",Devolver Digital
5626,10540,Sengoku Jidai: Shadow of the Shogun,80.0,2016,PC,Byzantine Games,Strategy,Slitherine
5712,10548,Darksiders Warmastered Edition,79.0,2016,"PC, Nintendo Switch, Wii U, PlayStation 4, Xbox One","Vigil Games, Kaiko","Action, RPG",THQ Nordic
5721,10549,60 Seconds!,63.0,2015,"macOS, Android, PlayStation 4, Xbox One, PC, Nintendo Switch",Robot Gentleman,"Adventure, Strategy, Simulation, Casual, Indie",Robot Gentleman
5731,1055,You Must Build A Boat,71.0,2015,"iOS, Android, Linux, PC, macOS","EightyEight Games, EightyEightGames, LucaRedwood","Action, RPG, Strategy, Casual, Indie, Puzzle","EightyEightGames, EightyEight Games"
5743,10551,Urban Empire,62.0,2017,PC,"Reborn Games, Reborn Interactive","Strategy, Simulation","Kalypso Media, Kalypso"
5839,1056,Battlezone,66.0,2017,"PC, PlayStation 4","Rebellion, Stainless Games","Action, Shooter","Atari, Rebellion"
5840,10560,Total War: SHOGUN 2,90.0,2011,"Linux, macOS, PC","Feral Interactive, Creative Assembly",Strategy,"SEGA, Feral Interactive"
6037,10579,Planescape: Torment: Enhanced Edition,85.0,2017,"Android, PlayStation 4, Nintendo Switch, PC, Xbox One, iOS, Linux, macOS","Overhaul Games, Beamdog, Black Isle Studios","Adventure, RPG, Strategy","Overhaul Games, Beamdog"
6047,1058,Nova-111,68.0,2015,"macOS, PC, Xbox One, PS Vita, PlayStation 3, PlayStation 4, Wii U","Curve Digital, Carbon, Funktronic Labs","Action, Adventure, Strategy, Indie","Curve Digital, Funktronic Labs"
6058,10581,Secret World Legends,76.0,2017,PC,Funcom,"Action, Adventure, RPG, Massively Multiplayer",Funcom
6257,106,RAVENMARK: Scourge of Estellion,75.0,2011,"iOS, PC",Witching Hour Studios,"RPG, Strategy","Slitherine, Witching Hour Studios Pte"
6280,10602,Dino D-Day,53.0,2011,PC,800 North and Digital Ranch,"Action, Indie",800 North and Digital Ranch
6324,10606,Mirage: Arcane Warfare,74.0,2017,PC,Torn Banner Studios,"Action, Indie",Torn Banner Studios
6334,10607,Infested Planet,75.0,2013,"PC, macOS",Rocket Bear Games,"Action, Strategy, Indie",Rocket Bear Games
6355,10609,Birthdays the Beginning,68.0,2017,"PlayStation 4, Nintendo Switch, PC","NIS America, TOYBOX, Arc System Works Co","Strategy, Simulation",NIS America
6388,10612,CRYPTARK,80.0,2015,"Linux, PC, macOS, PlayStation 4","Alientrap, Alientrap Games","Action, Shooter, Adventure, Strategy, Indie","Alientrap, Alientrap Games"
6399,10613,Slime-san,78.0,2017,"Linux, PC, macOS, Nintendo Switch",Fabraz,"Action, Adventure, Indie","Headup Games, Fabraz"
6420,10615,System Shock 2,92.0,1999,"macOS, PC, Linux","Irrational Games, Looking Glass Studios","Action, Shooter, RPG","Electronic Arts, Nightdive Studios"
6613,10633,Cold War,64.0,2014,PC,Mindware Studios,Action,THQ Nordic
6664,10638,Book of Demons,72.0,2018,"Nintendo Switch, Xbox One, PlayStation 4, PC","SONKA, Thing Trunk","Action, Adventure, RPG, Casual, Indie","505 Games, Thing Trunk"
6686,10640,Dark Fall: The Journal,68.0,2002,PC,"Darkling Room, XXv Productions",Adventure,THQ Nordic
6697,10641,Black The Fall,73.0,2014,"PC, macOS, PlayStation 4, Xbox One, Linux, Nintendo Switch","Square Enix, Sand Sailor Studio","Action, Indie","Square Enix, Sand Sailor Studio"
6727,10644,Dark Fall 2: Lights Out,66.0,2004,PC,"Darkling Room, XXv Productions",Adventure,THQ Nordic
6758,10647,John Wick Chronicles,57.0,2017,PC,"Starbreeze Studios, Big Red Button Entertainment, Grab Games, GamecoStudios",Action,Starbreeze Studios
6946,10665,POSTAL,56.0,1997,"Linux, PC, macOS",Running With Scissors,"Action, Indie",Running With Scissors
6966,10667,Paradigm,86.0,2017,"PC, macOS, Linux",Jacob Janerka,"Adventure, Indie, Puzzle",Jacob Janerka
6977,10668,Road to Ballhalla,75.0,2016,"PC, Nintendo Switch, PlayStation 4, Xbox One","tinyBuild, Torched Hill","Action, Adventure, Racing, Indie",tinyBuild
7089,10679,Children of Zodiarcs,81.0,2017,"Nintendo Switch, Xbox One, PC, PlayStation 4, macOS","Square Enix, Cardboard Utopia","RPG, Strategy, Indie","Square Enix, Plug In Digital, Cardboard Utopia"
7332,10702,Block'hood,77.0,2016,"Linux, PC, macOS",Plethora-Project,"Strategy, Simulation, Indie",Devolver Digital
7415,1071,Job Simulator,68.0,2016,"PC, PlayStation 4",Owlchemy Labs,"Action, Simulation",Owlchemy Labs
7468,10715,Hearts of Iron IV,83.0,2016,"Linux, PC, macOS",Paradox Development Studio,"Strategy, Simulation",Paradox Interactive
7521,10720,Day of Infamy,77.0,2017,"Linux, PC, macOS",New World Interactive,"Action, Shooter, Indie",New World Interactive
7563,10724,Crossout,68.0,2017,"PC, PlayStation 4, Xbox One",Targem Games,"Action, Simulation, Racing, Massively Multiplayer",Gaijin Entertainment
7627,1073,Keep Talking and Nobody Explodes,67.0,2015,"Android, macOS, PC, PlayStation 4, Xbox One, Nintendo Switch",Steel Crate Games,"Simulation, Indie, Puzzle",Steel Crate Games
7788,10745,Redeemer,64.0,2017,"Nintendo Switch, PlayStation 4, Xbox One, PC","Sobaka Studio, Sobaka","Action, Indie","Buka Entertainment, Good Shepherd Entertainment, Gambitious Digital Entertainment, Ravenscourt"
7851,10751,Legends of Eisenwald,71.0,2015,PC,Aterdux Entertainment,"Adventure, RPG, Strategy, Indie",Aterdux Entertainment
7871,10753,Rampage Knights,80.0,2015,"macOS, Nintendo Switch, PC",Rake in Grass,"Action, Adventure, RPG, Indie",Rake in Grass
7921,10758,American Truck Simulator,76.0,2016,"Linux, PC, macOS",SCS Software,"Simulation, Indie",SCS Software
8014,10767,Shadow Tactics: Blades of the Shogun,85.0,2016,"Linux, PC, macOS, Xbox One, PlayStation 4","Daedalic Entertainment, Mimimi Productions","Strategy, Indie",Daedalic Entertainment
8046,1077,Teslagrad,77.0,2013,"Android, iOS, Linux, PC, macOS, Xbox One, Wii U, PS Vita, PlayStation 4, PlayStation 3, Nintendo Switch","Playdigious, Rain Games, Rain AS","Action, Adventure, Family, Indie, Puzzle, Platformer","Surprise Attack, Playdigious, Rain Games"
8194,10784,Blossom Tales: The Sleeping King,78.0,2017,"PC, Nintendo Switch",Castle Pixel,"Action, Adventure",FDG Entertainment
8216,10786,ArcaniA,63.0,2010,"PlayStation 4, PlayStation 3, PC, Xbox 360","THQ Nordic, Spellbound Entertainment","Action, RPG","THQ Nordic, Nordic Games, JoWooD Entertainment, Nordic Games Publishing"
8237,10788,Aura: Fate of the Ages,63.0,2004,PC,Streko Graphics,Adventure,THQ Nordic
8367,108,Mortal Kombat X,76.0,2015,"PC, Android, iOS, Xbox One, PlayStation 4","Warner Bros. Interactive, NetherRealm Studios, High Voltage Software","Action, Fighting",Warner Bros. Interactive
8431,10806,Original War,61.0,2001,PC,"Altar Interactive, Altar Games","Strategy, Indie",Bohemia Interactive
8473,1081,Rez Infinite,91.0,2016,"PC, PlayStation 4","Enhance Games, Monstars, Resonair","Action, Casual, Indie",Enhance Games
8474,10810,The Book of Unwritten Tales: The Critter Chronicles,73.0,2012,"Linux, PC, macOS",KING Art,"Adventure, Indie","THQ Nordic, Nordic Games"
8506,10813,Black Mirror II,71.0,2011,PC,Cranberry Production,Adventure,THQ Nordic
8580,1082,Hero Academy,75.0,2012,"macOS, Linux, PC, iOS",Robot Entertainment,"Strategy, Board Games, Indie",Robot Entertainment
8603,10822,Battlezone 98 Redux,75.0,1998,"PC, macOS",Big Boat Interactive,"Action, Strategy",Rebellion
8622,10824,The Book of Unwritten Tales,82.0,2012,"PC, macOS, Linux",KING Art,Adventure,THQ Nordic
8668,10829,Agents of Mayhem,70.0,2017,"PC, Xbox One, PlayStation 4","Deep Silver, Volition",Action,Deep Silver
8886,1085,The Assembly,55.0,2016,"PC, Xbox One, PlayStation 4",nDreams,"Adventure, Indie",nDreams
8919,10853,Future Unfolding,75.0,2017,"PC, macOS, PlayStation 4",Spaces of Play UG,"Action, Adventure, Indie, Puzzle",Spaces of Play UG
8993,1086,FINAL FANTASY IV,87.0,2008,"iOS, PC, Android, Nintendo DS","Square Enix, DotEmu",RPG,Square Enix
9057,10866,Plasma Puncher,69.0,2017,PC,Tomatotrap,"Action, Casual, Indie",Tomatotrap
9076,10868,Stranded Deep,64.0,2015,"macOS, PC, Xbox One, PlayStation 4","Telltale Games, Beam Team Games","Action, Adventure, Indie",Beam Team
9120,10872,Battle Brothers,80.0,2017,PC,Overhype Studios,"RPG, Strategy, Indie",Overhype Studios
